,group,bact,gen,prot,ID
64,0,Dorea longicatena,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/404/635/GCF_001404635.1_13414_6_35/GCF_001404635.1_13414_6_35_genomic.fna.gz,,UP000398619
41,1,Streptococcus australis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/125/815/GCF_004125815.1_ASM412581v1/GCF_004125815.1_ASM412581v1_genomic.fna.gz,,
47,1,Streptococcus sanguinis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/105/GCF_000191105.1_ASM19110v1/GCF_000191105.1_ASM19110v1_genomic.fna.gz,,UP000002148
43,1,Streptococcus infantis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/187/465/GCF_000187465.1_ASM18746v1/GCF_000187465.1_ASM18746v1_genomic.fna.gz,,UP000003291
73,0,Bacteroides caccae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/572/305/GCF_008572305.1_ASM857230v1/GCF_008572305.1_ASM857230v1_genomic.fna.gz,,UP000095657
55,0,Mitsuokella multacida,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/373/875/GCF_902373875.1_MGYG-HGUT-01316/GCF_902373875.1_MGYG-HGUT-01316_genomic.fna.gz,,UP000261845
72,0,Bacteroides cellulosilyticus,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/309/805/GCF_017309805.1_ASM1730980v1/GCF_017309805.1_ASM1730980v1_genomic.fna.gz,,UP000018191
20,1,Clostridium symbiosum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/632/235/GCF_008632235.1_ASM863223v1/GCF_008632235.1_ASM863223v1_genomic.fna.gz,,UP000002970
38,1,Ruminococcus gnavus,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/831/375/GCF_009831375.1_ASM983137v1/GCF_009831375.1_ASM983137v1_genomic.fna.gz,,UP000018114
28,1,Holdemania filiformis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/459/085/GCF_003459085.1_ASM345908v1/GCF_003459085.1_ASM345908v1_genomic.fna.gz,,UP000005950
53,0,Eubacterium hallii,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/466/615/GCF_003466615.1_ASM346661v1/GCF_003466615.1_ASM346661v1_genomic.fna.gz,,UP000018069
63,0,Dorea formicigenerans,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/169/235/GCF_000169235.1_ASM16923v1/GCF_000169235.1_ASM16923v1_genomic.fna.gz,,UP000358366
6,0,Sutterella wadsworthensis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/724/805/GCF_016724805.1_ASM1672480v1/GCF_016724805.1_ASM1672480v1_genomic.fna.gz,,UP000258708
60,0,Butyrivibrio crossotus,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/373/805/GCF_902373805.1_MGYG-HGUT-01319/GCF_902373805.1_MGYG-HGUT-01319_genomic.fna.gz,,
57,0,Ruminococcus bromii,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/834/225/GCF_002834225.1_ASM283422v1/GCF_002834225.1_ASM283422v1_genomic.fna.gz,,UP000198616
23,1,Flavonifractor plautii,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/508/875/GCF_010508875.1_ASM1050887v1/GCF_010508875.1_ASM1050887v1_genomic.fna.gz,,UP000004459
68,0,Bacteroides plebeius,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/374/375/GCF_902374375.1_MGYG-HGUT-01364/GCF_902374375.1_MGYG-HGUT-01364_genomic.fna.gz,,UP000018372
15,1,Clostridium citroniae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/855/GCF_900115855.1_IMG-taxon_2623620476_annotated_assembly/GCF_900115855.1_IMG-taxon_2623620476_annotated_assembly_genomic.fna.gz,,
46,1,Streptococcus pneumoniae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/618/125/GCF_900618125.1_NCTC11032/GCF_900618125.1_NCTC11032_genomic.fna.gz,,UP000000586
56,0,Ruminococcus obeum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/457/595/GCF_003457595.1_ASM345759v1/GCF_003457595.1_ASM345759v1_genomic.fna.gz,,
4,0,Bifidobacterium catenulatum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/025/195/GCF_001025195.1_ASM102519v1/GCF_001025195.1_ASM102519v1_genomic.fna.gz,,UP000411400
67,0,Bacteroides ovatus,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/314/995/GCF_001314995.1_ASM131499v1/GCF_001314995.1_ASM131499v1_genomic.fna.gz,,UP000262741
27,1,Granulicatella adiacens,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/675/GCF_000160675.1_ASM16067v1/GCF_000160675.1_ASM16067v1_genomic.fna.gz,,UP000005926
18,1,Clostridium nexile,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/470/975/GCF_003470975.1_ASM347097v1/GCF_003470975.1_ASM347097v1_genomic.fna.gz,,UP000018368
62,0,Coprococcus comes,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/904/155/GCF_016904155.1_ASM1690415v1/GCF_016904155.1_ASM1690415v1_genomic.fna.gz,,UP000017957
69,0,Bacteroides coprocola,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/845/GCF_000154845.1_ASM15484v1/GCF_000154845.1_ASM15484v1_genomic.fna.gz,,
3,0,Bifidobacterium angulatum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/025/155/GCF_001025155.1_ASM102515v1/GCF_001025155.1_ASM102515v1_genomic.fna.gz,,UP000006408
